Original_Venture_Name,Year_Foundation,Alternative_Name
"Tianjin Hydata Technology Co., Ltd.",2013,Hydata
"Hungry Marketplace, Inc.",2016,HUNGRY
"Human Dx, Ltd.",2012,Human Diagnosis Project
Medopad Ltd.,2011,Huma
"Beijing Huimei Technology Co., Ltd.",2015,Huimei Technology
"Hui An Jinke (Beijing) Technology Co., Ltd.",2017,Hui'an Jinke (Ahi Fintech)
"METIS SOLUTIONS, S.L.",2016,Hubtype
"Huarui Xinzhi Technology (Beijing) Co., Ltd.",2017,Huarui Xinzhi
"Shenzhen Huafu Information Technology Co., Ltd.",2015,Huafu Information
Robocog Inc.,2012,HiringSolved
"Hangzhou Hexiang Network Technology Co., Ltd.",2017,Hexiaoxiang
"Health Hope (Beijing) Technology Co., Ltd.",2014,Health Hope
"405LABS, Inc.",2014,harvest.ai
Handy Training Technologies Pvt. Ltd.,2015,HandyTrain
DC Frontiers Pte. Ltd.,2011,Handshakes
"Jiangsu Handkoo Technology Development Co., ltd.",2007,HandKoo
H1Insights.com,2017,H1
"Hangzhou Guochen Robot Technology Co., Ltd.",2015,Guochen Robot
Guangzhou Gump Come Company Limited,2015,GumpCome
Healthzone Organic Foods Pvt. Ltd.,2015,Grow Fit
Greta & Friends AB,2015,Greta
Pegara Inc.,2015,GPU EATER
"Shenzhen Gowild Intelligent Technology Co., Ltd.",2013,Gowild 
Got It,2012,Got-It AI
Kare Knowledgeware Ltd,2014,Gluru
"SocialGlimpz, Inc.",2015,GlimpzIt
Exipple Studio S.L.,2015,Gestoos
Foster Findlay Associates Limited,1986,Geoteric
"Trafla, Inc.",2016,Gallop.ai
"Nanotech Galaxy, Inc.",2015,Galaxy.AI
"Beijing Fuyou Online Information Technology Co., Ltd.",2013,Fuyou Kache
"Zhejiang Fullink Tech Co., Ltd.",2017,Fullink Tech
"Frame Technology, Inc.",2016,Frame AI
"InfraRed Digital, Inc.",2013,Foxtrot Code
"Flaming Education Technology (Shenzhen) Co., Ltd.",2018,Flickering
dwins GmbH,2015,Finanzguru
Fido Labs Inc.,2013,fido.ai
Biometrix Co.,2014,Fathom AI
"Lush, Inc.",2016,Farmstead
"Excelero, Inc.",2014,Excelero Storage
"World Wide Prep, Ltd.",2015,examPAL
"Beijing Evolver Technology Co., Ltd.",2015,Evolver
"Beijing Dihou Yuntu Technology Co., Ltd.",2015,Engineerhope.com
Acellere GmbH,2009,Embold
"embodied, inc.",2016,Embodied Labs
Hello I am Elliot Inc.,2017,Elliot
Easytosee Agtech Sociedad Limitada,2014,ec2ce
"NutriCern, Inc.",2014,EatRx
OOO Double Data,2012,Double Data
"Donde Fashion, Inc.",2014,Donde Search
Phasorz Technologies Private Limited,2015,DocsApp
CS Disco Inc.,2012,Disco
Shortbite Ltd.,2012,DigitalBridge
Kinosis Ltd.,2013,Digital Surgery
"Hello Digit, Inc.",2013,Digit
Api.ai,2010,Dialogflow
"Plex-VR Digital Technology (Shanghai) Co., Ltd.",2016,Dgene
"Run Dexter, Inc.",2015,Dexter
"Dev/Con Detect, Inc.",2017,Devcon | Client-Side Security
"Beijing Deepwise Science And Technology Co., Ltd.",2017,Deepwise
VuFind Inc.,2016,DeepVu
"Beijing Deepexi Technology Co., Ltd.",2018,DEEPEXI
datreeio Ltd,2017,Datree
"DataScience, Inc.",2014,DataScience.com
"Beijing Phase Number Technology Co., Ltd.",2017,DataOJO
Ronin Blockchain Corp.,2016,Datametrex AI Limited
eRevalue Limited,2014,Datamaran
"Shanghai Dashubao Information Technology Co., Ltd.",2016,Dashubao
"Cyber Reconnaissance, Inc",2016,CYR3CON
"CyberSaint, Inc.",2016,CyberSaint Security
"Agora Intelligence, Inc.",2014,Crowdz
"Cogent3D, Inc.",2009,CropTrak
InfoCredit Services Private Limited,2012,CreditVidya
Urja Money Private Limited,2016,CreditMate
Counting Ltd,2017,Countingup
"Zhejiang CoTEK Robotics Co., Ltd.",2016,CoTEK Robotics
"COTA, Inc.",2011,Cota Healthcare
CloudEnablers Inc.,2016,CoreStack
"ThickStat, Inc.",2017,ConverSight.ai
Contratado LLC,2006,Contratanet
Grupo Conektame S.A.P.I. de C.V.,2011,Conekta
"Hefei Kejin Automation Technology Co., Ltd.",2015,Comwin
"BrainFights, Inc.",2014,CodeSignal
Wearless Tech Inc.,2014,Cocoon Cam
MAXSET Worldwide Inc.,2016,CloudEdison.com is our new flagship products branded by MAXSET Worldwide Inc.
Intensix LTD.,2014,CLEW Medical
"WizRocket, Inc.",2013,CleverTap
Cleverbug (CleverGift),2011,CleverCards
Prekari Inc.,2017,Clearedin
Cinchkey Inc.,2017,Cinch Technologies
"Shanghai iMiLabs Technology Co,Ltd.",2014,Chuangmi Technology
"AffectLayer, Inc.",2015,Chorus.ai
"Xi'an Chishine Optoelectronics Technology Co., Ltd.",2014,Chishine Optoelectronics
Asio Limited,2011,Chirp
Cherry Labs Inc.,2016,Cherry Home
"Shaanxi Techen Information Technology Co., Ltd.",2017,Chenzhi
Guazi.com Inc.,2015,Chehaoduo
"Nanjing Cheyitao Network Technology Co., Ltd.",2014,Che300
"Beijing Changmugu Medical Technology Co., Ltd.",2017,Changmugu Medical
"Context-Based 4 Casting, Ltd.",2010,CB4
"Bay Labs, Inc.",2013,Caption Health
"Guangzhou Candao Information Technology Co., Ltd.",2014,Candao
"Chengdu PinGuo Technology Co., Ltd.",2010,Camera360
CalmCar Vehicle Vision,2016,CalmCar Vision System
"Beijing Byte Dance Telecommunications Co., Ltd.",2012,ByteDance
Byond,2015,ByondXR
"Better Ideas, LLC.",2015,BUREA (Better Ideas Holdings)
Hi Bruno SAS,2017,Bruno
"Branch Messenger, Inc.",2015,Branch
"Shenzhen BrainNow Medical Technology Co., Ltd.",2016,BrainNow
"Guangzhou Poi-Tech Intelligent Information Technology Co., Ltd.",2014,Boyt (POI-TECH)
"Dopamine Labs, Inc.",2015,Boundless Mind
"Beijing BooCax Technology Co., Ltd.",2014,bOOcAX
Bonobot Technologies Ltd.,2017,Bonobo AI
"Zhuhai Orbita Aerospace Science & Technology Co.,Ltd",2000,
LINE Corporation,2000,
"Beijing Zhizhen Internet Technology Co., Ltd.",2000,
Robotiques 3 Dimensions,2001,
"CELLGENTEK Co., Ltd.",2002,
"Changchun Jilian Technology Group Co., Ltd.",2003,
"Shenzhen Easou Technology Co.,Ltd.",2005,
Arena Analytics Inc.,2009,
"Lifecom, Inc.",2009,
"Original, Inc.",2010,
Green Running Ltd,2010,
Nutrino Health Ltd,2011,
Rituwall Inc.,2011,
"WhisperText, Inc.",2011,
HD Insurance Ltd,2011,
"Wiffledan, Inc.",2012,
"Building Robotics, Inc.",2012,
"Stack Labs, Inc.",2013,
"Spinbackup, Inc.",2013,
Thematic Groupe SAS,2013,
Softlab9 Software Solutions Inc.,2014,
"Zhongshan Bin'ge Network Technology Co., Ltd.",2014,
Progression Pathways Ltd,2014,
"CarGlass, Inc.",2014,
"Planck Resolution, Ltd.",2015,
Send Token Inc.,2015,
Ask Benjamin Inc.,2015,
Shorebird Technologies Pvt Ltd,2015,
"Huiying Medical Technology (Beijing) Co., Ltd.",2015,
Techbins Solutions Private Limited,2015,
RN Chidakashi Technologies Private Limited,2015,
"My True, Inc.",2015,
"Ninjatruck, S.L.",2015,
S4 Capital plc,2016,
"Via Science, Inc.",2016,
"Megarobo Technology Co., Ltd.",2016,
"AISense, Inc.",2016,
PRIX LIMITED,2016,
"WGE, Inc.",2016,
Bluebear Technologies Private Limited,2016,
"Askwithcue, inc.",2016,
Idee Numerique India Pvt. Ltd.,2016,
"BetterSkills, Inc.",2016,
Forseti SAS,2016,
"Golden Recursion, Inc.",2016,
"Pulsra, Inc.",2016,
"Rekor Recognition Systems, Inc.",2017,
Blink Technologies Inc.,2017,
PerSe Beauty Inc.,2017,
"Vidurama, Inc.",2017,
Embodied Intelligence Inc.,2017,
FINSPOT SAS,2017,
GH Solutions AB,2017,
Dreamplug Technologies Pvt Ltd.,2018,
Zuvoo Limited,2018,
"Excel Health, LLC",1996,
Blippar.Com Limited,2011,Blippar
ThincI Inc.,2010,Blaize
"Beijing BizSeer Technology Co., Ltd.",2016,Bishi Technology
Cambridge Bio-Augmentation Systems Ltd,2015,BIOS
Datafalls Srl,2017,BigProfiles
Bext Holdings Inc.,2016,Bext360
Better Mortgage Corporation,2016,Better.com
Lending Express Inc.,2016,Become
"Beautiful Slides, Inc.",2015,Beautiful
Beacon Tech Inc.,1995,Beacon Technologies Group
Barricade Security Systems Limited,2014,Barricade IO
"Wuhan Banma Kuaipao Technology Co., Ltd.",2015,Banma Kuaipao
Badiapp 2015 Inc.,2015,Badi
Transcense,2014,Ava
"Wheego Technologies, Inc.",2008,Autonomous Fusion
"Augment Solutions, Inc.",2016,Augment CXM
EYOTO Group Limited,2013,Aston EyeTech Ltd
"Adaptive Spectrum and Signal Alignment, Inc.",2003,ASSIA
Ask Products Ltd,2017,askporter
"Hangzhou Artery Flow Network Technology Co., Ltd.",2017,ArteryFlow
"Arsenal Biosciences, Inc.",2019,ArsenalBio
ZetaTango Technology Inc.,2017,Ario Platform
"Arceo Labs, Inc.",2016,Arceo.ai
Arigato Advanced Travel Technology Ltd.,2015,Arbitrip
Coastal Aquaculture Research Institute Private Limited,2017,Aquaconnect
"Apprentice FS, Inc.",2014,Apprentice.io
Easy Education Inc.,2015,ApplyBoard
A.P.E.R.I.O. Ltd.,2016,APERIO Systems
Applied Project Experience Pty Ltd,2012,APE Mobile
"Beijing Ao Graph Information Technology Co., Ltd.",2017,Ao Graph
AdAsia Holdings Pte. Ltd,2016,AnyMind Group
"Anamnesis, SAS",2017,Anamnese
"Analytics for Life, Inc.",2012,Analytics 4 Life
AN Global I.T. S.A.P.I. de C.V.,2000,AN Global
"TruVerse, Inc",2016,Amplify.ai
"Alpine Analytics, Inc.",2011,Alpine Data Labs
"Yishi Intelligent Technology (Suzhou) Co., Ltd.",2018,Allgsight
Allegro Artificial Intelligence Ltd.,2016,Allegro.AI
"AFT Analytics, Inc.",2015,Aliya Financial Technologies
Aid Technology Limited,2016,AID:Tech
"JIDDU, Inc.",2016,AgShift
"eAGROOP, Lda",2014,Agroop
"Robotic Services, Inc.",2015,Aerial Applications
"AdviNow, Inc.",2016,AdviNOW Medical
Advance Technology Pte. Ltd.,2014,ADVANCE.AI
ADEXT Inc.,2017,Adext AI
Aegis AI,2018,Actuate
Active Intelligence Pte Ltd.,2016,Active.ai
"Beijing ABC Fintech Co., Ltd.",2016,ABC Fintech
"Beijing 6cloud Technology Co., Ltd.",2018,6Cloud Technology
51HiTech,2015,51VR
"Beijing Wusi Chuangxiang Technology Co., Ltd.",2014,4Paradigm
"Beijing Zhongxin Yibao Technology Co., Ltd.",2015,17doubao.com
"Beijing Jingzheng Information Technology Co., Ltd.",2014,"
Jingzhengu.com"
Ground Drone Ltd.,2016, MOV.AI
"Hubei Dinglong Ai Visual Communication Technology Co., Ltd.",2000,
Luminous Group Ltd,2004,
"Indigo BioAutomation, Inc.",2006,
Hunch Inc.,2007,
"Voxagent Labs, Inc.",2007,
"Online Media Group, Inc.",2007,
Excel with Business Limited,2009,
Brain Corporation,2009,
"Vicarious FPC, Inc.",2010,
Yappn Corp.,2010,
Deep Software Foundation,2010,
Your Trainer Inc.,2010,
Schok LLC,2010,
GrowishPay Srl,2011,
Blackaeon International,2012,
"Viv Labs, Inc.",2012,
"Bpu Holdings Co., Ltd.",2012,
Thread Online Limited,2012,
Cubie Inc.,2012,
Element Inc.,2012,
Engineer.ai,2012,
Nuvap S.r.l.,2013,
Vymo Solutions Private Limited,2013,
Mobacar Limited,2013,
SAS STEADYSUN,2013,
CustomerLabs Digital Solutions Pvt. Ltd.,2013,
The Digital Box S.p.A.,2013,
RSVP Technologies Inc.,2013,
Inloc Robotics SL,2013,
NERVteh d.o.o.,2013,
Pop Tech Pty Ltd.,2013,
Sound Dimension AB,2013,
BABBLER SAS,2013,
Airing Inc.,2014,
"Elucida Oncology, Inc.",2014,
Segovia Technology Co.,2014,
"Lighthouse AI, Inc.",2014,
"Project Affinity, Inc.",2014,
Perfect Corp.,2014,
"Bonsai AI, Inc.",2014,
"Trayt, Inc.",2014,
"Mirador Financial, Inc.",2014,
"Wove Technologies, Inc.",2014,
ASAPP INC.,2014,
"Soda Mobility Technologies Co., Ltd.",2015,
SAS ONHYS,2015,
SmartApp.inc,2015,
Hey Homie S.A.P.I de C.V.,2015,
N-TECH.LAB LTD,2015,
Hutoma Artificial Intelligence S.L.,2015,
AND GLOBAL LLC,2015,
Camino.ai,2015,
M3DICINE Pty Ltd.,2015,
