Original_Venture_Name,Year_Foundation,Alternative_Name
Sensilize,2013,
Sundose,2013,
Neurence,2013,
Yongqianbao,2013,
OIM Squared Inc.,2013,
Signal Media Ltd.,2013,
OnCrawl,2013,
Mogees Ltd.,2013,
"CarePredict, Inc.",2013,
Arria NLG plc,2013,
Pitchvantage LLC,2013,
Freeletics GmbH,2013,
Olis Robotics,2013,
WizeNoze B.V.,2013,
Sweetch Health Ltd.,2013,
"Color Genomics, Inc.",2013,
"Giant Oak, Inc.",2013,
Ksubaka,2013,
Strossle AB,2013,
"MonkeyLearn, LLC",2013,
GoGig Jobs Inc.,2013,
Vettery Inc.,2013,
Vert Rotors UK Limited,2013,
Sequretek IT Solutions Pvt. Ltd,2013,
Onvedeo Inc,2013,
"NewSci, LLC",2013,
"Attune,Inc.",2013,
"FiscalNote, Inc.",2013,
SoapBox Labs Ltd.,2013,
Healint Pte. Ltd.,2013,
Fresh Relevance Ltd.,2013,
"Citrine Informatics, Inc.",2013,
Ecoppia Ltd.,2013,
Kiln,2013,
Synerise,2013,
"DataFox Intelligence, Inc.",2013,
"Eko Devices, Inc.",2013,
Quantemplate Limited,2013,
Flamingo AI Limited,2013,
"ARAYA Brain Imaging, Inc.",2013,
Getintent,2013,
ModelSquared™,2013,
Trendalytics Innovation Labs,2013,
Safesize,2013,
Fuel50 Inc.,2013,
"Tangshan Intelligent Laser Technology Co., Ltd.",2013,
"Orion Labs, Inc.",2013,
Racefox AB,2013,
"BESTFITMI, OOO",2013,
"Knightscope, Inc.",2013,
Upside,2013,
Zova,2013,
Obvious Engineering,2013,
Cappasity Inc.,2013,
Fitfully,2013,
Digital Clipboard,2013,
Rubikloud,2013,
Saut Media,2013,
Right Relevance,2013,
IActive,2013,
Algolux,2013,
PromoRepublic,2013,
"Kasisto, Inc.",2013,
Theorem,2013,
Walkabout,2013,
CRATE Technology GmbH,2013,
VMRay GmbH,2013,
Rewardpod,2013,
DNA SEQ,2013,
Primary Data,2013,
Travel Appeal,2013,
Querium Corporation,2013,
"Palerra, Inc.",2013,
Arthena,2013,
Landscape Mobile,2013,
REES46,2013,
Solvvy Inc.,2013,
"Orbital Insight, Inc.",2013,
TheTake,2013,
Grid4C,2013,
"AtScale, Inc.",2013,
"Edj Analytics, LLC",2013,
Arya.ai,2013,
Babylon Healthcare Services Limited,2013,
"DEXTRO, INC",2013,
Datavisor Inc.,2013,
UnaliWear Inc.,2013,
"Beijing Lancai Information Technology Co., Ltd.",2013,
Knowtions Research Inc.,2013,
Cognito HRM Limited,2013,
Darktrace Limited,2013,
"Eversight, Inc.",2013,
"Nacho Cove, Inc.",2013,
Zendrive Inc.,2013,
Liqid Inc.,2013,
"Alice Technologies, Inc.",2013,
Geosplit OOO,2013,
IQM Corporation,2013,
Corax,2013,
Youbiquo,2013,
"OmniSci, Inc.",2013,
Augur Technologies Inc.,2013,
"PushSpring, Inc.",2013,
Scallog SAS,2013,
Nugit Pte Ltd.,2013,
OspreyData,2013,
"Signal Vine, Inc.",2013,
"Delvv, Inc.",2013,
"Scientific Revenue, Inc.",2013,
"Pecabu, Inc.",2013,
"Innit, Inc.",2013,
Infinium Robotics Pte Ltd,2013,
"Niara, Inc.",2013,
Mapillary AB,2013,
"Human Longevity, Inc.",2013,
"OAG Analytics, Inc.",2013,
LookLive BV,2013,
"Quantiphi, Inc.",2013,
"Socratic, Inc.",2013,
"AEye, Inc.",2013,
OrbCare Inc.,2013,
"Fusemachines, Inc.",2013,
iLenze,2013,
TeamBrain,2013,
"DryLet, LLC",2013,
"Guru Technologies, Inc.",2013,
Quantiply Corporation,2013,
"Neura, Inc.",2013,
CyActive Ltd.,2013,
"Quicket Solutions, Inc.",2013,
"Nautilus Data Technologies, Inc.",2013,
CARSYNC,2013,
Kiwi.ai,2013,
Imandra Inc.,2014,
QARA Soft,2014,
iguazio,2014,
Zombie Soup,2014,
Gloat.com (previously Workey),2014,
JOEZOO,2014,
Exnodes Inc.,2014,
"PERQ Software, LLC",2014,
Sensorygen Inc.,2014,
Compliance.ai,2014,
Endor Software Ltd.,2014,
Tipigo Ventures Ltd.,2014,
"TopOPPS, Inc.",2014,
ParallelDots,2014,
"Nitrio, Inc.",2014,
"Touchjet, Inc.",2014,
"Uplevel Security, Inc.",2014,
InsideBoard,2014,
Mosaic Smart Data Limited,2014,
"BlueShift Labs, Inc.",2014,
Movi As,2014,
"SENSE360, INC.",2014,
Teraki GmbH,2014,
Teforia Company,2014,
"Workventure Technologies Co., LTD.",2014,
"Lifespeed, Inc.",2014,
"Mist Systems, Inc.",2014,
Proscia Inc.,2014,
Julie Desk,2014,
Apprentice.io,2014,
Advalo SAS,2014,
"Anthology, Inc.",2014,
"Neoglyphic Entertainment, Inc.",2014,
"Stradvision, Inc.",2014,
"Amper Music, Inc.",2014,
PT Kurio,2014,
Artomatix Limited,2014,
Applicate IT Solutions Pvt. Ltd.,2014,
Cardiologs Technologies SAS,2014,
"Plexuss, Inc.",2014,
"LeanDNA, Inc.",2014,
Percipient Partners Pte. Ltd.,2014,
"Raven Tech, Inc.",2014,
"Nuritas, Ltd.",2014,
"Intellivisit, Inc.",2014,
"Radarapps, Inc.",2014,
OpenDNA Limited,2014,
"Sharemedical Co., Ltd.",2014,
"THECOO, Inc.",2014,
Meta Mind AB,2014,
Aire Labs Ltd.,2014,
"Simon Data, Inc.",2014,
Crobox B.V.,2014,
BigchainDB,2014,
Dokkio,2014,
NeeWee,2014,
DeepMotion,2014,
Liber Finance Group,2014,
IntelliPhi,2014,
DeepAR,2014,
StatMuse Inc.,2014,
GlamST,2014,
DreamQuark SAS,2014,
Vincross Inc.,2014,
"Hoodline, Inc.",2014,
Harvest.ai,2014,
"Traffic Technology Services, Inc.",2014,
Birdi Ltd.,2014,
viisights Solutions Ltd.,2014,
Deepomatic Arts et Métiers,2014,
"Blackpoint Holdings, LLC",2014,
Faraday&Future Inc.,2014,
Privitar Ltd,2014,
"Node, Inc.",2014,
"Planet3, Inc.",2014,
"Pachyderm, Inc.",2014,
"Jingdong Fintech Shareholding Co., Ltd.",2014,
Mednition Inc.,2014,
Instaffo GmbH,2014,
"Stockviews, Ltd.",2014,
"Dil Mil, Inc.",2014,
Drust SAS,2014,
ZingBox Studio,2014,
Surgeon Check LLC,2014,
Braviant Holdings LLC,2014,
PubNative GmbH,2014,
Accern Corp.,2014,
Somnoware Healthcare Systems Inc.,2014,
"ObEN, Inc.",2014,
Sixgill Ltd,2014,
"Hansight (Beijing) Software Technology Co., Ltd.",2014,
Xiaobang Guihua,2014,
Jolly Good Inc.,2014,
Body Vision Medical LTD.,2014,
Ross Intelligence Inc.,2014,
"Wexus Technologies, Inc.",2014,
Aerobotics,2014,
"Ryah Medtech, Inc.",2014,
Avora Ltd,2014,
Biodentify,2014,
Slidr,2014,
Looplist,2014,
NavTrac,2014,
Trupik,2014,
GUN,2014,
sensation.io,2014,
Teridion Technologies Ltd.,2014,
Appodeal Inc.,2014,
Manchester Imaging Limited,2014,
Ampotech Pte. Ltd.,2014,
"Immuta, Inc.",2014,
Urbanbase Inc.,2014,
"Savonix, Inc.",2014,
Prospera Technologies Ltd.,2014,
Hacarus Inc.,2014,
Vizzario Inc.,2014,
SmartDreamers SRL,2014,
Koniku Inc.,2014,
Malong Technologies,2014,
"Collokia, LLC",2014,
RocketROI SL,2014,
Zylotech,2014,
Bibblio Learning Ltd.,2014,
Find BoB Ltd.,2014,
Ween SAS,2014,
AimBrain Solutions Limited,2014,
Wirkn Inc.,2014,
SpringRole Inc.,2014,
"AgriSync, Inc.",2014,
Utopia Analytics Oy,2014,
Emotech Ltd,2014,
Dashmote B.V.,2014,
Dermala Inc.,2014,
"Scaled Inference, Inc.",2014,
"HealthJoy, LLC",2014,
HoloBuilder Inc.,2014,
RecoSense Infosolutions Pvt Ltd.,2014,
"PerimeterX, Inc.",2014,
SymphonyRM Inc,2014,
Skymind Inc.,2014,
"Cape Analytics, LLC",2014,
Sobot Technologies,2014,
MediaGamma Limited,2014,
ParentsConcern India Consultant Pvt. Ltd.,2014,
"Gradescope, Inc.",2014,
Xtramile SAS,2014,
"GreenKey Technologies, LLC",2014,
Umbo Computer Vision Inc.,2014,
"Checkr, Inc.",2014,
Validere Technologies Inc.,2014,
Aerobotics (Pty.) Ltd.,2014,
Betterview,2014,
Wemaik,2014,
Gleechi,2014,
"Nextail Labs, S.L.U.",2014,
Bloomlife,2014,
SIME CLINICAL AI,2014,
Rally,2014,
Fclassroom,2014,
Plenty Inc.,2014,
The SaaS Co. 1 GmbH,2014,
"Preferred Networks, Inc.",2014,
Baby 2 Body Limited,2014,
"JUMP Holdings, Inc.",2014,
Myinterview Solutions Pty Ltd.,2014,
Zebra Medical Vision Ltd.,2014,
"Sensay, Inc.",2014,
Sensai Corporation,2014,
Juvo Mobile Inc.,2014,
"Crayon, Inc.",2014,
Now Healthcare Group Limited,2014,
Riiid! Inc.,2014,
"R65 Labs, Inc.",2014,
"Afero, Inc.",2014,
Moov Inc.,2014,
ALTOIDA AG,2014,
Vectaury S.A.S,2014,
Analogy Zrt.,2014,
"Potentiametrics, Inc.",2014,
"Porter and Sail, Inc.",2014,
VISITS Technologies Inc.,2014,
"Binded, Inc.",2014,
Hypersciences Inc.,2014,
Prophesee SA,2014,
GreenTropism S.A.S.,2014,
"Maven Machines, Inc.",2014,
"Yodas, Inc.",2014,
"Zugata, Inc.",2014,
"New Tranx Information Technology (Beijing) Co., Ltd.",2014,
"Boostinsider, INC.",2014,
Beyond Limits Inc.,2014,
"FogHorn Systems, Inc.",2014,
InLoop Ltd.,2014,
vicomi LTD,2014,
BestMile Sàrl,2014,
ShopCo Technologies Corp.,2014,
"Swiftly, Inc.",2014,
Minit j.s.a,2014,
Healx Limited,2014,
Quotfy LLC,2014,
Coru,2014,
Elemental Path,2014,
Nexus A.I.,2014,
Charmboard,2014,
"TalkIQ, Inc.",2014,
Nutanix Beam,2014,
SecuredTouch Inc,2014,
"TUPL, Inc.",2014,
"Volley Labs, Inc.",2014,
Namogoo Technologies Ltd.,2014,
"Uptake Technologies, Inc.",2014,
Anzyz Technologies AS,2014,
"Restless Bandit, Inc.",2014,
Cortex Automation Inc.,2014,
"Futurism, LLC",2014,
FinTech Studios,2014,
Rokid Corporation Ltd.,2014,
Arc-net,2014,
Vinci,2014,
"ProCARE Portal, LLC",2014,
HealthSignz Technologies Pvt. Ltd,2014,
Wellth,2014,
"Gro Intelligence, Inc.",2014,
Plume Labs SAS,2014,
"AUTHORS, Inc.",2014,
"Zycada Networks, Inc.",2014,
Animusoft Corporation,2014,
"Trooly, Inc.",2014,
Weka.IO Ltd.,2014,
"SalesWise, Inc.",2014,
"cClearly, Inc.",2014,
"Tiny Kicks, LLC",2014,
"AmplifAI Solutions, Inc.",2014,
Qucit SAS,2014,
"Shenzhen Leengstar Technology Co.,LTD",2014,
"Changyi (Shanghai) Information Technology Co., Ltd.",2014,
"QxBranch, Inc.",2014,
Jooxter SAS,2014,
"Qlearsite, Inc.",2014,
Trint Limited,2014,
"Roboterra, Inc.",2014,
Connecterra B.V.,2014,
Pyze Inc.,2014,
ZingBox Inc.,2014,
Wise Systems Inc.,2014,
Latticework,2014,
Selectionnist,2014,
Textual,2014,
AFA Finance,2014,
Invacio Group,2014,
Eiratech Robotics,2014,
Knomos Knowledge Management,2014,
PeopleHQ,2014,
Quant Group,2014,
Marsello,2014,
Platfarm Inc. (mojitok),2014,
BIGO Technology,2014,
Augmedics LTD,2014,
MLog Tianqijia,2014,
Helian Health,2014,
Eigen Technologies Limited,2014,
Reliability Solutions Sp. z o.o.,2014,
"MJN Neuroserveis, SL",2014,
"Phylagen, Inc.",2014,
journi GmbH,2014,
"SocialEdge, Inc.",2014,
Zero Zero Robotics Inc.,2014,
"Rapyuta Robotics Co., Ltd.",2014,
"Semantic Machines, Inc.",2014,
"Oh My Green, Inc.",2014,
SECEON Inc.,2014,
Cognitive Systems Corp.,2014,
Allgoo Desenvolvimento de Software Ltda.,2014,
Majio,2014,
Documaster AS,2014,
MetaMind Inc.,2014,
KONUX GmbH,2014,
"Shanghai All Dream Network Technology Co., Ltd.",2014,
TrackStreet LLC,2014,
"Magic, Inc.",2014,
"Lingxi AR Technology Co., Ltd.",2014,
quantilope GmbH,2014,
Nano Interactive GmbH,2014,
Esperanto Technologies Inc.,2014,
CambrianRobotics inc.,2014,
Flickstree Productions Pvt. Ltd Limited,2014,
"Experfy, Inc.",2014,
BigchainDB GmbH,2014,
"Sift Security, Inc.",2014,
Elise Technologies SA,2014,
C5 Accelerate LLC,2014,
Swish Analytics Inc,2014,
"Insilico Medicine, Inc.",2014,
Menerva,2014,
"Mind & Idea Fly Co., Ltd.",2014,
Transhuman,2014,
Farmers Business Network,2014,
Evertracker,2014,
ReaQta,2014,
C. Light Technologies,2014,
"VideoAmp, Inc.",2014,
Luke Roberts GmbH,2014,
DCbrain SAS,2014,
Parabole LLC,2014,
micropsi industries GmbH,2014,
Smyte Inc.,2014,
"Pager, Inc.",2014,
Ampliphae Ltd,2014,
XiaoduoAI,2014,
iguazio Systems LTD,2014,
VitaDX International SA,2014,
"NexLP, Inc.",2014,
Klarismo Limited,2014,
Natufia Labs PLC,2014,
LogiNext Solutions Private Limited,2014,
"Kyndi, Inc.",2014,
"General Automation Lab Technologies, Inc.",2014,
"Minio, Inc.",2014,
JBR Interio Technologies Pvt. Ltd,2014,
Casamatic LLC,2014,
"WISECO Technology (Beijing) Co.,Ltd.",2014,
TravelWits LLC,2014,
Finn.ai,2014,
JOANY Inc.,2014,
CareSkore Inc.,2014,
PureClarity Technologies Limited,2014,
BioCarbon Engineering Limited,2014,
Twiggle Ltd.,2014,
"Wallaroo Labs, Inc.",2014,
"Conversable, Inc.",2014,
"Ripcord Digital, Inc.",2014,
Inno-3B Inc.,2014,
Smart Reporting GmbH,2014,
SequenceIQ Inc.,2014,
Verity Studios AG,2014,
Neokami Inc.,2014,
WIIDII,2014,
"Rithmio, Inc.",2014,
"Zhejiang HOZON New Energy Automobile Co., Ltd.",2014,
Ignilife France SAS,2014,
Findify AB,2014,
Bubblo (BubbleScene Ltd.),2014,
Pathship,2014,
"Jumptuit, Inc.",2014,
Agbotic,2014,
Movi,2014,
Mobiry Technology International,2014,
Media Distillery,2014,
Simplex,2014,
Trill A.I.,2014,
Crol,2014,
"ClipMine, Inc.",2014,
Hydro66 Holdings Corp.,2014,
Picsoneye Segmentation Innovations Limited,2014,
Gamaya SA,2014,
"Simility, Inc.",2014,
"SlashNext, Inc.",2014,
ElectronicStars Ltd,2014,
KodaCloud Inc.,2014,
"Shenzhen IntelliFusion Technology Co., Ltd.",2014,
"SaltGrid, Inc.",2014,
"Osmo Systems, Inc.",2014,
"Caspida, Inc.",2014,
"ScaleFactor, Inc.",2014,
Tricog Health Services Pvt LTD.,2014,
"Cogitativo, Inc.",2014,
"CeriBell, Inc.",2014,
Testim Computerized Verifications Ltd.,2014,
"Starship Technologies, Inc.",2014,
"Ironclad, Inc.",2014,
"Farmer's Business Network, Inc.",2014,
Scalefast Inc.,2014,
nGUVU Technologies Inc.,2014,
MoEngage Inc.,2014,
"Envisagenics, Inc.",2014,
"Cloud4Wi, Inc.",2014,
"V5 Systems, Inc.",2014,
Ghostlamp ehf,2014,
"Mariana, Inc.",2014,
Tractable Limited,2014,
"RightHand Robotics, Inc.",2014,
"Tulip Interfaces, Inc.",2014,
Votek,2014,
Robonica Srl,2014,
FINDMINE,2014,
Sabio Mobile,2014,
Rulex,2014,
wrnch Inc.,2014,
Sortlist SA,2014,
KickView Corporation,2014,
Knowmail S.A.L. Ltd.,2014,
"Pier, Inc.",2014,
"Pixeom, Inc.",2014,
"Neumob, Inc.",2014,
"Tourmaline Labs, Inc.",2014,
"HelpSocial, Inc.",2014,
Wyncode,2014,
"ClearMetal, Inc.",2014,
Reactor Inc,2014,
Oxbotica Limited,2014,
Klangoo Inc.,2014,
Aeroxo,2014,
"StackRox, Inc.",2014,
Hi Fidelity Genetics LLC,2014,
"Ushur, Inc.",2014,
ForePaaS SAS,2014,
"Mursion, Inc.",2014,
Freenome Inc.,2014,
Grey Jean Technologies LLC,2014,
"Hyperconnect, Inc.",2014,
"Neuro-ID, Inc.",2014,
"NarrativeWave, Inc.",2014,
Spectee Inc.,2014,
Delve Laboratories inc.,2014,
MatchupBox,2014,
"IdealSpot, Inc.",2014,
"Waggl, Inc.",2014,
Connected Robotics Inc,2014,
"Thrive Agritech, Inc.",2014,
"Human Condition Safety, Inc.",2014,
Sentryo SAS,2014,
"Unlimited Tomorrow, Inc.",2014,
SOINN Inc.,2014,
"Descartes Labs, Inc.",2014,
Chishine Optoelectronics,2014,
Penten,2014,
Justice.cool,2014,
JUMP Holdings,2014,
Boxtrap Security,2014,
Alerion,2014,
Bonsai,2014,
Influans SA,2014,
SINGULATO MOTORS,2014,
"Beijing Miaoji Technology Co., Ltd.",2014,
"Rollio, Inc.",2014,
KITOV Systems LTD,2014,
Fraugster Limited,2014,
"Growbots, Inc.",2014,
Catalia Health Inc.,2014,
"LeapYear Technologies, Inc.",2014,
"AooGee Controls Co., LTD.",2014,
Screenpoint Medical B.V.,2014,
GameRefinery Oy,2014,
Petasense Inc.,2014,
Zan Compute Inc.,2014,
vPersonalize Inc.,2014,
Spirable,2014,
ROIALTY s.r.l.,2014,
Royal Wins Pty Ltd,2014,
Who's Good,2014,
ScanTrust SA,2014,
Clustree SA,2014,
InnerSpace Technologies Inc.,2014,
Novi Labs LLC,2014,
GreenWaves Technologies SAS,2014,
"Cortex Building Intelligence, Inc.",2014,
Lightico Ltd,2014,
LPixel Inc.,2014,
"Textio, Inc.",2014,
"Yet Analytics, Inc.",2014,
"Vettd, Inc.",2014,
Mr Gabriel,2014,
Nextern Systems Corp,2014,
Fathom AI,2014,
Joint Academy,2014,
AddStructure Inc.,2014,
AI Travel Inc.,2014,
Jooycar,2014,
MedPilot Inc.,2014,
Fospha,2014,
"Pine Biotech, Inc.",2014,
XtalPi Inc.,2014,
imVision Technologies Ltd.,2014,
"AppThis, LLC",2014,
Jooycar LLC,2014,
Paperspace,2014,
"Tailor Brands, LTD.",2014,
"Kemvi, Inc.",2014,
Adfenix AB,2014,
HealthPlix Technologies Pvt. Ltd.,2014,
"MolecularMatch, Inc.",2014,
SenseTime group Limited,2014,
"Hunt Club, Inc.",2014,
"QC Ware, Corp.",2014,
"Thrive Bioscience, Inc.",2014,
"Swyfft, LLC",2014,
"Ai Software, LLC",2014,
Medyria AG,2014,
"Predicta, Inc.",2014,
"Quantiacs, LLC",2014,
"Oncora Medical, Inc.",2014,
Ambisense Ltd.,2014,
Ada Support Inc.,2014,
Intelligo Group,2014,
OMGwhen Ltd.,2014,
Big Data for Humans Ltd.,2014,
"Movellus, Inc.",2014,
Zikto Inc.,2014,
SESAMm SAS,2014,
"Enlitic, Inc.",2014,
Joyz Inc.,2014,
"Cintric, LLC",2014,
Trackonomics (Israel) Ltd.,2014,
Hashtag Paid Inc.,2014,
Anodot Ltd.,2014,
Serimmune Inc.,2014,
"AdmitHub, Inc.",2014,
"Falcon Computing Solutions, Inc.",2014,
Shellanoo Group Ltd,2014,
"DefenseStorm, Inc.",2014,
GeoCV,2014,
Senseye Ltd.,2014,
Ushr Inc.,2014,
"Sea Machines Robotics, Inc.",2014,
"Awake Security, Inc.",2014,
Alaya Care Inc.,2014,
Sudu Logistics Inc.,2014,
Stilingue Inteligencia Artificial Ltda.,2014,
Behavox Ltd.,2014,
"SpotRight, Inc.",2014,
N Toggle,2014,
"GTRIIP, Inc.",2014,
SafetyTek Software Ltd.,2014,
Fiskl Limited,2014,
Blueshift,2014,
Uin Coffee,2014,
deepsense.ai,2014,
Eyra,2014,
Column Health,2014,
AdotMob,2014,
Spaceboost,2014,
"Protenus, Inc.",2014,
Biorelate Ltd.,2014,
"Bigfoot Biomedical, Inc.",2014,
Wiivv Wearables Inc.,2014,
Aibono Smart Farming Private Limited,2014,
"Mighty AI, Inc.",2014,
"Haplox Biotechnology Co., LTD.",2014,
Carbon Robotics,2014,
"Columbus Collaboratory, LLC",2014,
Cocoon Limited,2014,
Pulpix Inc.,2014,
"Red Canary, Inc.",2014,
Furhat Robotics AB,2014,
Every Labs Inc.,2014,
"InnoTree Network Tech Co., Ltd.",2014,
Ceptu ApS,2014,
Zoox Inc.,2014,
"Teal Drones, Inc.",2014,
"Modifi, Inc.",2014,
Zirra.com Ltd.,2014,
Talentadore Oy,2014,
"Vitagene, Inc.",2014,
"Sass Labs, Inc.",2014,
"HubTran, Inc.",2014,
Karos SAS,2014,
"IronNet Cybersecurity, Inc.",2014,
Sensome SAS,2014,
"Propel(x), Inc.",2014,
"EngageTalent, LLC",2014,
Monocl AB,2014,
"ThingTech, LLC",2014,
n-Join,2014,
"Mohawk Group Holdings, Inc.",2014,
Elenium Automation,2014,
iConTek CORP.,2014,
Liquid,2014,
EdCast Inc.,2014,
DroneAi,2014,
UrbanStat,2014,
Neolix,2014,
Oxademy Technologies,2014,
Webragger,2014,
Awaait Artificial Intelligence S.L.,2014,
"nToggle, Inc.",2014,
Stackfolio LLC,2014,
"StreamMosaic, Inc.",2014,
Jewel Paymentech Pte. Ltd.,2014,
"Mindshare Medical, Inc.",2014,
Aira Tech Corp.,2014,
"AnatoMotion, Inc.",2014,
"x.ai, inc.",2014,
Cognixion Inc.,2014,
Stimul'Activ SAS,2014,
"Unanimous A.I., Inc.",2014,
MondoBrain Inc.,2014,
Ravelin Technology Ltd,2014,
"Cequence Security, Inc.",2014,
zoogaad,2014,
avaamo,2014,
Conversion Logic,2014,
"Entytle, Inc.",2014,
Rover,2014,
Wyzerr,2014,
Nervana Systems,2014,
AdvisorConnect,2014,
CiValue,2014,
DATA IMPACT,2014,
Wizer,2014,
Navya SA,2014,
"HyperVerge, Inc.",2014,
"Text IQ, Inc.",2014,
Peak Business Insight Ltd.,2014,
Tuya Inc.,2014,
"DreaMed Diabetes, Ltd.",2014,
Hidden Planet Limited,2014,
Ocrolus Inc.,2014,
Waylay NV,2014,
Leveris Limited,2014,
Blackboxstocks Inc.,2014,
"Imperative Group, Inc.",2014,
"Grandata, Inc.",2014,
Deep Genomics Inc.,2014,
"FOVE, inc.",2014,
SHOTGUN,2014,
"Resonant Therapeutics, Inc.",2014,
"Cloud Pharmaceuticals, Inc.",2014,
"Untouch Technologies Co., Ltd.",2014,
"Opsani, Inc.",2014,
Sensara Inc.,2014,
Competera Limited,2014,
Dojo Madness GmbH,2014,
DeepBlue Technology (Shanghai) Co. Ltd,2014,
Minereye Ltd.,2014,
"Buoy Health, Inc.",2014,
"LEEWAYS, Inc.",2014,
"TurboAppeal, Inc.",2014,
"Gadget Software, Inc.",2014,
Globee Inc.,2014,
Robosense,2014,
TripElephant Inc.,2014,
Kip,2014,
Sparkup,2014,
kontoor,2014,
Kumanu,2014,
DealGlobe,2014,
Hotelsoft Inc.,2014,
"Matic Insurance Services, Inc.",2014,
"Buffalo Automation Group, Inc.",2014,
Veerum Inc.,2014,
Data Nerds,2014,
"Ceres Imaging, Inc",2014,
GeoPhy BV,2014,
Spektral,2014,
"OpsRamp, Inc.",2014,
"OneRent, Inc.",2014,
Brud Inc.,2014,
Votem Corp.,2014,
Shippit Pty Ltd.,2014,
Oovvuu Pty. Ltd.,2014,
Qelzal Corporation,2014,
NIO Inc.,2014,
"Bringhub, Inc.",2014,
Insilico Medicine Cayman TopCo,2014,
Hexadite Ltd.,2014,
"Polarr, Inc.",2014,
deepsense.io,2014,
"ZeroBrush, Inc.",2014,
Empow Cyber Security Ltd.,2014,
GeoLang Holdings Ltd.,2014,
Kaloom Inc.,2014,
"SigOpt, Inc.",2014,
"Karius, Inc.",2014,
"twoXAR, Incorporated",2014,
Auravant,2014,
Sense AI Inc.,2014,
"Symbio Robotics, Inc.",2014,
"Veritone, Inc.",2014,
Zorroa Corporation,2014,
"ZineOne, Inc.",2014,
Engine Biosciences Pte. Ltd.,2014,
"Quintype, Inc.",2014,
"Quidient, LLC",2014,
meuron Inc,2014,
Symphony Ventures Limited,2014,
terasumile inc.,2014,
Analyticmate,2014,
AmplioSpeech,2014,
"Astro Digital US, Inc.",2014,
SwineTech,2015,
Darvis Inc,2015,
Lunzi Technology,2015,
Stage Intelligence,2015,
EXA3D,2015,
MMG,2015,
Datarum,2015,
Interset,2015,
QiO Technologies,2015,
Medxoom Inc.,2015,
"Applied Lifesciences & Systems, LLC",2015,
"TripActions, Inc.",2015,
Prisma Renewable Composites LLC,2015,
"Efy Technology (Tianjin) Co., Ltd.",2015,
"Securrency, Inc.",2015,
Flow Commerce Inc.,2015,
Manychat,2015,
"Kneron, Inc.",2015,
"Sourceress, Inc.",2015,
Keen Eye Technologies SAS,2015,
"CloudMinds Technologies Co., Ltd.",2015,
Shepherd Network Ltd,2015,
Phoebus Medical Technology,2015,
"Standigm, Inc.",2015,
"Drive.ai, Inc.",2015,
RayCatch Ltd.,2015,
"Motion AI, Inc.",2015,
Angus.ai,2015,
"VitiBot, Sa",2015,
"Imbellus, Inc.",2015,
Zea BioSciences Corp,2015,
Aidence B.V.,2015,
DeepGram,2015,
NuvoAir AB,2015,
"Element Analytics, Inc.",2015,
EdgeTier,2015,
Aerostate,2015,
"Tonal Systems, Inc.",2015,
10x Future Technologies Limited,2015,
Brook Inc.,2015,
Victory Square Technologies Inc.,2015,
CognitionX Ltd.,2015,
"Creo Wellness, LLC",2015,
Newsbridge,2015,
AMPLYFI LTD.,2015,
Qrvey Inc.,2015,
"Delect Technologies, LLC",2015,
"inVia Robotics, LLC",2015,
ATTAbotics Inc.,2015,
Tonkean Inc,2015,
DataSine Limited,2015,
"Alyce, Inc.",2015,
Fraym,2015,
CloudNC Ltd.,2015,
Motivo Inc.,2015,
Asylon Incorporated,2015,
NetraDyne Inc.,2015,
Fokal,2015,
DMscore,2015,
synergist.io,2015,
Cognitev,2015,
Finova Connect,2015,
Mobigraph Inc.,2015,
Nectarine Health AB,2015,
MessageYes (formerly ReplyYes),2015,
Vault AI,2015,
Tripeur,2015,
cinfo,2015,
"The Looking Glass, Inc.",2015,
Fulmz AI,2015,
"Agent IQ, Inc.",2015,
GUPY Tecnologia em Recrutamento LTDA.,2015,
"Datatist,lnc",2015,
"Allyke, LLC",2015,
"Trendage, Inc.",2015,
"Beta Bionics, Inc.",2015,
UPMEM SAS,2015,
"SpeakIn Technologies Co.,Ltd.",2015,
Ever Co.,2015,
Envoy AG,2015,
"HealthReveal, Inc.",2015,
"MICIN, Inc.",2015,
MobieTrain NV,2015,
StoryFit Inc.,2015,
"Kencor Health, Inc.",2015,
"SayKara, Inc.",2015,
Visbit Inc.,2015,
"Pinscreen, Inc.",2015,
"Arundo Analytics, Inc.",2015,
Operam Inc.,2015,
Cuebiq Inc.,2015,
"Perceptive Automata, Inc.",2015,
"The Looma Project, Inc.",2015,
CloudMedx Inc.,2015,
"TimelinePI, Inc.",2015,
Luminance Technologies Ltd.,2015,
"Breakaway Labs, Inc.",2015,
"Emotibot Technologies (Shanghai) Co., Ltd.",2015,
Chooch Intelligence Technologies Co.,2015,
"SummitSync, Inc.",2015,
Feelingstream OÜ,2015,
Optimus Ride Inc.,2015,
Sentenai Inc.,2015,
"RxPREDICT, INC.",2015,
GeoZilla Inc.,2015,
Insightin Health,2015,
"IoT Defense, Inc.",2015,
"Vagupu, Inc.",2015,
"IceKredit, Inc.",2015,
"Enview, Inc.",2015,
Propulse Analytics,2015,
"SiFive, Inc.",2015,
Q°emotion France SAS,2015,
"Gruff, Inc.",2015,
Cortex Health Inc.,2015,
"Osaro, Inc.",2015,
NewSky Security,2015,
SmartAll,2015,
Spectrm,2015,
RockSpoon,2015,
Brain Technologies,2015,
qplum,2015,
CarLabs Inc.,2015,
